ensembl_gene_id,gene_symbol,entrez_id,description,rbpworld_family,species,common_name,group,neurons,genome_mb,cell_types,data_source,protein_type,is_canonical
ENSG00000062650,WAPL,23063,WAPL cohesin release factor,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000062822,POLD1,5424,"DNA polymerase delta 1, catalytic subunit",,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000063046,EIF4B,1975,eukaryotic translation initiation factor 4B,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000063177,RPL18,6141,ribosomal protein L18,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000063244,U2AF2,11338,U2 small nuclear RNA auxiliary factor 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000063854,HAGH,3029,hydroxyacylglutathione hydrolase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000064419,TNPO3,23534,transportin 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000064607,SUGP2,10147,SURP and G-patch domain containing 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000064651,SLC12A2,6558,solute carrier family 12 member 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000064666,CNN2,1265,calponin 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000064703,DDX20,11218,DEAD-box helicase 20,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000064932,SBNO2,22904,strawberry notch homolog 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065000,AP3D1,8943,adaptor related protein complex 3 subunit delta 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065135,GNAI3,2773,G protein subunit alpha i3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065150,IPO5,3843,importin 5,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065154,OAT,4942,ornithine aminotransferase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065183,WDR3,10885,WD repeat domain 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065243,PKN2,5586,protein kinase N2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065268,WDR18,57418,WD repeat domain 18,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065427,KARS,3735,lysyl-tRNA synthetase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065457,ADAT1,23536,adenosine deaminase tRNA specific 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065526,SPEN,23013,spen family transcriptional repressor,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065548,ZC3H15,55854,zinc finger CCCH-type containing 15,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065613,SLK,9748,STE20 like kinase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065883,CDK13,8621,cyclin dependent kinase 13,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000065978,YBX1,4904,Y-box binding protein 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000066044,ELAVL1,1994,ELAV like RNA binding protein 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
